px	py	v	yaw_angle	yaw_rate	px_measured	py_measured	px_true	py_true	vx_true	vy_true	NIS
66.3053	23.9859	3.05236	0.287239	0.048289	66.3403	23.9959	66.0431	24.0276	2.37349	0.508655	1.14318
66.2147	23.958	2.61648	0.256386	-0.0022693	65.8838	23.9541	66.0431	24.0276	2.37349	0.508655	2.59058
68.2654	24.3605	2.58488	0.186082	-0.0454656	68.262	24.3582	68.4273	24.4824	2.30293	0.385623	0.0207449
68.3511	24.3922	2.65222	0.199576	-0.0317255	68.6759	24.6059	68.4273	24.4824	2.30293	0.385623	1.97964
70.811	24.8791	2.80175	0.231429	0.00888984	70.8275	24.8844	70.7384	24.8137	2.22347	0.265395	0.261572
70.7779	24.8646	2.51983	0.193211	-0.0514091	70.7403	24.6728	70.7384	24.8137	2.22347	0.265395	0.654575
72.8933	24.72	2.52504	-0.166417	-0.245335	72.8923	24.7135	72.9675	25.025	2.13584	0.150292	0.130498
72.9419	24.7364	2.53138	-0.168492	-0.257239	73.0732	25.0343	72.9675	25.025	2.13584	0.150292	0.675354
75.0147	25.2397	2.16104	0.278323	0.182077	75.0021	25.2595	75.1062	25.1224	2.04114	0.0423626	1.1004
75.0013	25.2352	2.13987	0.273256	0.177997	74.9748	25.1377	75.1062	25.1224	2.04114	0.0423626	0.0475235
77.1117	24.9452	2.2257	-0.334414	-0.318788	77.1225	24.9297	77.1475	25.1137	1.9408	-0.0566978	0.848839
77.1357	24.95	2.20536	-0.362273	-0.361143	77.1386	25.2948	77.1475	25.1137	1.9408	-0.0566978	0.192533
79.1028	25.0105	1.89766	0.0613592	0.136133	79.1089	25.0369	79.0861	25.0086	1.83649	-0.145607	1.45646
79.1118	25.0139	1.90179	0.0659004	0.138255	79.1718	24.9698	79.0861	25.0086	1.83649	-0.145607	0.0264169
80.8018	24.874	1.97852	-0.0421406	-0.0160803	80.8074	24.8688	80.9183	24.8178	1.73008	-0.223536	0.101085
80.8489	24.8795	1.84891	-0.111769	-0.13229	81.1423	24.8704	80.9183	24.8178	1.73008	-0.223536	1.27282
82.5964	24.637	2.04254	-0.1117	-0.0475173	82.6216	24.6393	82.6423	24.5525	1.6235	-0.29012	0.310292
82.5729	24.6251	1.88515	-0.202255	-0.196011	82.5085	24.8114	82.6423	24.5525	1.6235	-0.29012	0.363546
84.1643	24.5415	1.86357	-0.0179789	0.0372432	84.1733	24.5504	84.2584	24.2245	1.51869	-0.345444	0.236732
84.1636	24.5429	1.77865	-0.0465303	-0.020921	84.2898	24.3312	84.2584	24.2245	1.51869	-0.345444	0.164011
85.6401	23.821	1.84112	-0.558271	-0.320277	85.6378	23.808	85.7688	23.8451	1.41749	-0.390006	0.334746
85.6965	23.8405	1.90371	-0.506762	-0.26138	85.9743	23.7547	85.7688	23.8451	1.41749	-0.390006	0.853344
86.9692	23.4964	1.39094	-0.345569	-0.0163236	86.9449	23.527	87.1776	23.4252	1.32159	-0.424654	1.12228
87.0756	23.5313	1.44747	-0.293284	-0.00476475	87.6171	23.5127	87.1776	23.4252	1.32159	-0.424654	3.60896
88.7531	22.7973	2.06823	-0.377202	-0.0476574	88.8227	22.7869	88.4904	22.9745	1.23248	-0.450514	1.98464
88.6838	22.767	1.93418	-0.554366	-0.280512	88.4191	22.9498	88.4904	22.9745	1.23248	-0.450514	1.05622
89.5614	22.2655	1.18031	-0.678891	-0.216684	89.4967	22.3082	89.7145	22.5017	1.15138	-0.468904	2.58247
89.6195	22.2815	1.24766	-0.589673	-0.0989813	89.7821	22.4826	89.7145	22.5017	1.15138	-0.468904	0.721257
90.507	21.6634	1.24602	-0.567997	-0.0241932	90.5133	21.6677	90.858	22.0141	1.07929	-0.481241	0.0348543
90.5914	21.6874	1.33356	-0.44147	0.0980468	90.8419	22.0974	90.858	22.0141	1.07929	-0.481241	1.71894
91.7059	21.1176	1.44536	-0.353389	0.0941279	91.7178	21.1152	91.9302	21.5174	1.01698	-0.488964	0.0588423
91.7525	21.126	1.38686	-0.435971	-0.0781873	92.0492	21.5289	91.9302	21.5174	1.01698	-0.488964	2.1452
92.8533	20.9388	1.30258	-0.0878083	0.175987	92.8599	20.9537	92.9411	21.016	0.964993	-0.493443	0.311465
92.9087	20.9639	1.18739	-0.0814128	0.109928	93.3186	21.0712	92.9411	21.016	0.964993	-0.493443	2.69204
93.5174	20.25	0.891383	-0.818135	-0.390218	93.4668	20.2155	93.9011	20.513	0.92369	-0.495919	1.8729
93.582	20.2931	1.06034	-0.575095	-0.0949497	93.7423	20.5071	93.9011	20.513	0.92369	-0.495919	1.32393
95.206	19.6629	1.97305	0.0553969	0.363466	95.3229	19.6585	94.8209	20.01	0.893308	-0.497439	5.47355
95.0095	19.6613	1.40583	-0.18222	0.0974585	94.494	19.8854	94.8209	20.01	0.893308	-0.497439	7.879
95.554	19.6926	0.970174	0.0251742	0.161474	95.5039	19.6984	95.7116	19.5078	0.87398	-0.498816	1.31524
